IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.243.95,8080,8080,false,HKG,Asia Pacific,Hong Kong,16,14.80
8.217.145.40,8880,8880,false,HKG,Asia Pacific,Hong Kong,13,13.45
8.217.145.40,8080,8080,false,HKG,Asia Pacific,Hong Kong,18,13.43
8.217.251.62,2052,2052,false,HKG,Asia Pacific,Hong Kong,17,13.41
47.242.174.27,2083,2083,true,HKG,Asia Pacific,Hong Kong,12,13.26
8.218.174.118,2095,2095,false,HKG,Asia Pacific,Hong Kong,20,11.07
45.159.51.137,44255,443,true,HKG,Asia Pacific,Hong Kong,65,10.27
37.123.196.135,443,80,false,HKG,Asia Pacific,Hong Kong,198,10.22
38.207.129.34,35333,443,true,HKG,Asia Pacific,Hong Kong,174,9.97
38.47.120.145,25955,443,true,HKG,Asia Pacific,Hong Kong,69,9.90
47.76.189.102,2053,2053,true,HKG,Asia Pacific,Hong Kong,18,9.34
