IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.95.146,2082,2082,false,SIN,Asia Pacific,Singapore,213,2.33
47.236.205.188,2052,2052,false,SIN,Asia Pacific,Singapore,215,2.32
47.237.8.82,2087,2087,true,SIN,Asia Pacific,Singapore,199,2.29
47.236.150.13,2095,2095,false,SIN,Asia Pacific,Singapore,214,2.22
47.236.144.48,2095,2095,false,SIN,Asia Pacific,Singapore,208,2.20
47.236.232.148,8080,8080,false,SIN,Asia Pacific,Singapore,191,2.20
47.237.8.82,8880,8880,false,SIN,Asia Pacific,Singapore,197,2.19
47.236.97.90,2052,2052,false,SIN,Asia Pacific,Singapore,195,2.16
47.236.10.182,80,80,false,SIN,Asia Pacific,Singapore,198,2.15
47.237.14.220,2086,2086,false,SIN,Asia Pacific,Singapore,210,2.04
47.236.166.131,2095,2095,false,SIN,Asia Pacific,Singapore,215,2.04
8.222.193.65,8880,8880,false,SIN,Asia Pacific,Singapore,203,2.03
8.219.83.71,2095,2095,false,SIN,Asia Pacific,Singapore,209,2.03
8.219.124.227,2095,2095,false,SIN,Asia Pacific,Singapore,202,1.99
47.237.94.140,2083,2083,true,SIN,Asia Pacific,Singapore,215,1.97
47.236.10.182,8880,8880,false,SIN,Asia Pacific,Singapore,200,1.95
8.219.117.198,8443,8443,true,SIN,Asia Pacific,Singapore,190,1.91
47.236.174.206,8880,8880,false,SIN,Asia Pacific,Singapore,195,1.86
47.237.10.1,2095,2095,false,SIN,Asia Pacific,Singapore,208,1.84
47.236.9.152,2082,2082,false,SIN,Asia Pacific,Singapore,191,1.82
47.237.84.173,80,80,false,SIN,Asia Pacific,Singapore,195,1.81
47.236.130.95,8880,8880,false,SIN,Asia Pacific,Singapore,187,1.76
47.236.232.148,2082,2082,false,SIN,Asia Pacific,Singapore,191,1.67
47.236.232.148,2087,2087,true,SIN,Asia Pacific,Singapore,193,1.67
47.236.17.193,8880,8880,false,SIN,Asia Pacific,Singapore,192,1.64
8.219.237.250,2086,2086,false,SIN,Asia Pacific,Singapore,203,1.64
47.237.92.26,8880,8880,false,SIN,Asia Pacific,Singapore,218,1.63
47.236.10.100,8880,8880,false,SIN,Asia Pacific,Singapore,187,1.61
8.222.204.128,443,443,true,SIN,Asia Pacific,Singapore,208,1.61
47.237.86.185,2052,2052,false,SIN,Asia Pacific,Singapore,194,1.58
47.236.253.41,2086,2086,false,SIN,Asia Pacific,Singapore,191,1.54
47.236.167.231,2082,2082,false,SIN,Asia Pacific,Singapore,186,1.48
47.237.14.220,2095,2095,false,SIN,Asia Pacific,Singapore,203,1.48
47.237.82.15,2086,2086,false,SIN,Asia Pacific,Singapore,206,1.46
47.236.9.152,2052,2052,false,SIN,Asia Pacific,Singapore,209,1.43
47.236.167.231,2095,2095,false,SIN,Asia Pacific,Singapore,190,1.40
47.236.83.239,2086,2086,false,SIN,Asia Pacific,Singapore,203,1.40
47.236.232.148,8880,8880,false,SIN,Asia Pacific,Singapore,196,1.19
47.237.11.182,2096,2096,true,SIN,Asia Pacific,Singapore,209,1.17
8.219.147.58,8880,8880,false,SIN,Asia Pacific,Singapore,214,1.16
47.236.10.182,2052,2052,false,SIN,Asia Pacific,Singapore,203,1.16
47.236.5.223,2086,2086,false,SIN,Asia Pacific,Singapore,221,1.14
34.150.29.153,443,80,false,SIN,Asia Pacific,Singapore,11,1.13
47.237.0.31,2095,2095,false,SIN,Asia Pacific,Singapore,198,1.12
8.222.191.138,2086,2086,false,SIN,Asia Pacific,Singapore,214,1.03
8.212.41.98,80,80,false,SIN,Asia Pacific,Singapore,11,1.03
8.219.124.227,2086,2086,false,SIN,Asia Pacific,Singapore,217,1.00
47.236.169.15,2052,2052,false,SIN,Asia Pacific,Singapore,217,0.98
47.236.104.11,2082,2082,false,SIN,Asia Pacific,Singapore,196,0.91
47.236.169.141,80,80,false,SIN,Asia Pacific,Singapore,208,0.89
47.237.100.206,2082,2082,false,SIN,Asia Pacific,Singapore,215,0.88
47.236.202.91,2096,2096,true,SIN,Asia Pacific,Singapore,214,0.82
47.236.202.91,2087,2087,true,SIN,Asia Pacific,Singapore,204,0.82
47.238.52.240,80,443,true,SIN,Asia Pacific,Singapore,10,0.74
47.236.165.25,2086,2086,false,SIN,Asia Pacific,Singapore,200,0.69
47.238.48.58,80,443,true,SIN,Asia Pacific,Singapore,16,0.63
47.236.180.24,2087,2087,true,SIN,Asia Pacific,Singapore,197,0.28
47.237.3.221,80,2053,true,SIN,Asia Pacific,Singapore,195,0.15
23.225.64.72,25017,443,true,SIN,Asia Pacific,Singapore,73,0.02
47.236.80.110,2082,2082,false,SIN,Asia Pacific,Singapore,217,0.00
47.236.165.25,2087,2087,true,SIN,Asia Pacific,Singapore,192,0.00
47.237.11.182,2052,2052,false,SIN,Asia Pacific,Singapore,192,0.00
47.236.10.182,2095,2095,false,SIN,Asia Pacific,Singapore,214,0.00
13.229.159.215,443,443,true,SIN,Asia Pacific,Singapore,61,0.00
8.219.237.250,2083,2083,true,SIN,Asia Pacific,Singapore,194,0.00
47.236.168.17,2053,2053,true,SIN,Asia Pacific,Singapore,214,0.00
47.236.80.110,2053,2053,true,SIN,Asia Pacific,Singapore,189,0.00
47.236.170.225,2082,2082,false,SIN,Asia Pacific,Singapore,191,0.00
47.236.149.107,8080,8080,false,SIN,Asia Pacific,Singapore,198,0.00
47.236.167.231,8880,8880,false,SIN,Asia Pacific,Singapore,205,0.00
47.236.80.110,8080,8080,false,SIN,Asia Pacific,Singapore,195,0.00
8.219.201.245,80,80,false,SIN,Asia Pacific,Singapore,215,0.00
47.236.121.23,8880,8880,false,SIN,Asia Pacific,Singapore,195,0.00
43.156.27.249,443,443,true,SIN,Asia Pacific,Singapore,58,0.00
47.236.169.15,2095,2095,false,SIN,Asia Pacific,Singapore,209,0.00
43.156.253.94,443,443,true,SIN,Asia Pacific,Singapore,48,0.00
120.220.19.103,2082,2082,false,SIN,Asia Pacific,Singapore,45,0.00
